"gene_id","symbol","global","adjP","call"
"ENSG00000228010","AC073343.2",3.01639123004936e-50,8.1356905042528e-49,"Hit"
"ENSG00000228113","AC003991.1",2.06862391168639e-32,2.23994235779266e-31,"Hit"
"ENSG00000228203","RNF144A-AS1",0.000120239953390595,0.000374828428140837,"Hit"
"ENSG00000228218","ATF4P3",5.93715363687137e-05,0.00018834863869612,"Hit"
"ENSG00000228223","HCG11",2.00780379476992e-11,8.65967144309296e-11,"Hit"
"ENSG00000228237","EFCAB14-AS1",4.42133256523594e-29,4.10053051833124e-28,"Hit"
"ENSG00000228242","AC093495.1",1.73366907111753e-13,8.15155503488324e-13,"Hit"
"ENSG00000228253","MT-ATP8",0.00644137888350549,0.0179242745999652,"Hit"
"ENSG00000228340","MIR646HG",2.17551041412233e-07,7.78150961037918e-07,"Hit"
"ENSG00000228393","LINC01004",0.00015082504107223,0.000467378366613248,"Hit"
"ENSG00000228451","SDAD1P1",1.1156938737031e-26,9.36577111024626e-26,"Hit"
"ENSG00000228470","AL929236.1",6.94939824105966e-43,1.29058866496327e-41,"Hit"
"ENSG00000228506","AL513550.1",0.0103577732344903,0.028397383649282,"Hit"
"ENSG00000228526","MIR34AHG",1.12351378899894e-07,4.07733702301279e-07,"Hit"
"ENSG00000228623","ZNF883",7.64716719619934e-12,3.3570281349575e-11,"Hit"
"ENSG00000228626","AC245100.3",6.65991248578258e-09,2.56426397346029e-08,"Hit"
"ENSG00000228716","DHFR",8.06712484736666e-23,5.65464201873666e-22,"Hit"
"ENSG00000228737","AC008781.1",1.87960481185131e-35,2.37803094036032e-34,"Hit"
"ENSG00000228794","LINC01128",1.03106182865828e-14,5.10045726773407e-14,"Hit"
"ENSG00000228801","AC064807.1",2.23223734974182e-33,2.54454008054153e-32,"Hit"
"ENSG00000228804","AC072022.1",6.362291107208e-09,2.45251151913451e-08,"Hit"
"ENSG00000228839","PIK3IP1-AS1",4.17352935400333e-28,3.7257750802405e-27,"Hit"
"ENSG00000228925","AC016722.2",1.80690039922022e-64,1.15234314668735e-62,"Hit"
"ENSG00000229005","HNF4A-AS1",9.21297134853094e-05,0.0002896096454407,"Hit"
"ENSG00000229124","VIM-AS1",6.99672212464351e-09,2.69160752470374e-08,"Hit"
"ENSG00000229140","CCDC26",0.00124707219274856,0.003649277937275,"Hit"
"ENSG00000229205","LINC00200",4.98052894865873e-10,2.01300824849154e-09,"Hit"
"ENSG00000229241","PNPT1P1",0.00388896457795059,0.0109954416315137,"Hit"
"ENSG00000229257","AL807752.2",1.1686316401315e-16,6.24444240258332e-16,"Hit"
"ENSG00000229334","AC046143.1",1.70106577117103e-32,1.84871855817419e-31,"Hit"
"ENSG00000229358","DPY19L1P1",8.49669164932211e-20,5.21127808399613e-19,"Hit"
"ENSG00000229407","AL359853.1",4.01978897466867e-05,0.000128611968229474,"Hit"
"ENSG00000229544","NKX1-2",0.00172799206447459,0.00501027267364121,"Hit"
"ENSG00000229618","",1.93505261269591e-05,6.28797521774621e-05,"Hit"
"ENSG00000229689","AC009237.3",9.48297763200498e-10,3.79119523670385e-09,"Hit"
"ENSG00000229953","AL590666.2",0.000212650637487579,0.000653632807829945,"Hit"
"ENSG00000229956","ZRANB2-AS2",5.39168451906964e-21,3.47350915940257e-20,"Hit"
"ENSG00000230074","AL162231.2",0.00162785734119237,0.00472714982874754,"Hit"
"ENSG00000230124","ACBD6",2.5982917384448e-57,1.07296538031368e-55,"Hit"
"ENSG00000230251","PHB1P4",0.000149039494165276,0.000462114528137037,"Hit"
"ENSG00000230424","EMC1-AS1",1.14260314633515e-21,7.57576366832135e-21,"Hit"
"ENSG00000230453","ANKRD18B",1.17294385128771e-07,4.2509224286107e-07,"Hit"
"ENSG00000230487","PSMG3-AS1",0.00126271410571173,0.00369301868770458,"Hit"
"ENSG00000230490","AL139383.1",0.000127770120313507,0.000397603391015376,"Hit"
"ENSG00000230499","",0.000325816859989765,0.000989129403489475,"Hit"
"ENSG00000230536","",0.0165803067673076,0.0447742362073292,"Hit"
"ENSG00000230561","CCDC192",1.26665442306438e-05,4.15100526518473e-05,"Hit"
"ENSG00000230590","FTX",6.47187565328315e-22,4.34414648731572e-21,"Hit"
"ENSG00000230612","AC004039.1",3.25872299724974e-05,0.000104791389829335,"Hit"
"ENSG00000230623","AC104461.1",2.85797611500723e-13,1.33342134741232e-12,"Hit"
"ENSG00000230647","AC022816.1",0.000215950835195893,0.000663623354656758,"Hit"
"ENSG00000230699","",3.50597600976857e-13,1.63060381258806e-12,"Hit"
"ENSG00000230798","FOXD3-AS1",3.5394314390968e-11,1.50821406331261e-10,"Hit"
"ENSG00000230836","LINC01293",2.51006575428345e-08,9.42302211595343e-08,"Hit"
"ENSG00000230922","",9.67766733750785e-08,3.5222100064826e-07,"Hit"
"ENSG00000230927","TMBIM7P",4.0372620158617e-13,1.86952718178349e-12,"Hit"
"ENSG00000230989","HSBP1",9.33863035798575e-17,5.00910721541495e-16,"Hit"
"ENSG00000231128","AL137856.1",3.14660964199829e-09,1.23259591720876e-08,"Hit"
"ENSG00000231170","AC002451.1",7.73441603131135e-15,3.84393683305353e-14,"Hit"
"ENSG00000231185","SPRY4-AS1",1.66558941963338e-07,5.98819589370423e-07,"Hit"
"ENSG00000231290","APCDD1L-DT",0.00929615854296637,0.0255727931466265,"Hit"
"ENSG00000231312","MAP4K3-DT",0.00080670682659024,0.00239063531829071,"Hit"
"ENSG00000231365","WARS2-AS1",0.000377204967847037,0.0011399305585141,"Hit"
"ENSG00000231419","LINC00689",9.22208943816051e-05,0.000289793508824815,"Hit"
"ENSG00000231473","RB1-DT",1.59563719764489e-11,6.90438913670164e-11,"Hit"
"ENSG00000231533","AL391840.1",9.10660427563806e-30,8.68966753162248e-29,"Hit"
"ENSG00000231607","DLEU2",5.00546638172324e-21,3.23017163202009e-20,"Hit"
"ENSG00000231646","FSIP2-AS1",5.87119047159748e-08,2.16198337581921e-07,"Hit"
"ENSG00000231652","AL590428.1",2.06149271710278e-27,1.77997848437114e-26,"Hit"
"ENSG00000231689","LINC01090",8.08768372869706e-07,2.8178155519582e-06,"Hit"
"ENSG00000231764","DLX6-AS1",0.000133192710394906,0.000414186966819708,"Hit"
"ENSG00000231806","PCAT7",7.00050269607648e-05,0.000221316415477244,"Hit"
"ENSG00000231887","PRH1",0.00758940597635709,0.0210176676596106,"Hit"
"ENSG00000231889","TRAF3IP2-AS1",2.84743883756008e-22,1.94415374701085e-21,"Hit"
"ENSG00000231937","AC116666.1",0.000416413838514901,0.00125542564578452,"Hit"
"ENSG00000232093","DCST1-AS1",0.00622960604118328,0.0173567462607887,"Hit"
"ENSG00000232160","RAP2C-AS1",8.95232111711412e-30,8.54858268540513e-29,"Hit"
"ENSG00000232284","GNG12-AS1",1.26692205229556e-42,2.31087277494843e-41,"Hit"
"ENSG00000232295","AL589935.1",5.50456571186519e-28,4.8926611143497e-27,"Hit"
"ENSG00000232358","AL050404.1",0.00688421553362903,0.0191125198769527,"Hit"
"ENSG00000232407","PPIAP70",0.000663776319450142,0.00197631744731942,"Hit"
"ENSG00000232568","RPL23AP35",0.00187540748523498,0.00542350877145923,"Hit"
"ENSG00000232586","KIAA1614-AS1",0.00101940209288496,0.002998228186041,"Hit"
"ENSG00000232593","KANTR",3.45345875596614e-05,0.000110985630920514,"Hit"
"ENSG00000232611","",0.000148142156414425,0.000459546542363842,"Hit"
"ENSG00000232656","IDI2-AS1",2.12384510880914e-58,9.41358947061172e-57,"Hit"
"ENSG00000232748","AC135050.1",9.52067834554963e-09,3.64463682052032e-08,"Hit"
"ENSG00000232762","",0.0156313609012832,0.0423136947655567,"Hit"
"ENSG00000232767","AC016825.1",5.3878898796095e-12,2.38134524610828e-11,"Hit"
"ENSG00000232838","PET117",3.88598877301852e-34,4.60124601200599e-33,"Hit"
"ENSG00000232860","SMG7-AS1",1.16186407139561e-05,3.81370193960686e-05,"Hit"
"ENSG00000232882","PHKA1P1",4.26627568368109e-13,1.97351427260071e-12,"Hit"
"ENSG00000232884","",0.0166041325894978,0.0448340239704646,"Hit"
"ENSG00000232907","DLGAP4-AS1",0.000218411675535021,0.000670643124255669,"Hit"
"ENSG00000232952","AL512844.1",0.00125230162433367,0.00366337140001425,"Hit"
"ENSG00000232956","SNHG15",0.0131490955034724,0.0358029124418291,"Hit"
"ENSG00000233002","TBC1D26-AS1",0.00697910691587404,0.0193658565651872,"Hit"
